Byte    size              char              short             float          double           float3          float4
128K    131072        0.000014103767   0.000012129899    0.000012095363  0.000012761659   0.000011962933   0.000011753820 
256K    262144        0.000012819010   0.000012774339    0.000012785425  0.000013299328   0.000013206812   0.000012627960 
512K    524288        0.000016251881   0.000015874852    0.000015728159  0.000016196433   0.000015771880   0.000015746535 
1M      1048576       0.000019296951   0.000018600549    0.000018929426  0.000019278890   0.000018563487   0.000018857821 
2M      2097152       0.000029825898   0.000029721668    0.000029744473  0.000030255522   0.000033368709   0.000029567685 
4M      4194304       0.000043268741   0.000041507174    0.000041351919  0.000041899722   0.000045028442   0.000041403237 
8M      8388608       0.000075353018   0.000075017495    0.000075077063  0.000075565615   0.000079143603   0.000075087191 
16M     16777216      0.000143645171   0.000143365105    0.000143453814  0.000145664613   0.000147915387   0.000144038058 
32M     33554432      0.000280531996   0.000280770560    0.000280798442  0.000280822831   0.000284530397   0.000280889944 
64M     67108864      0.000559828011   0.000557828869    0.000556837360  0.000557183463   0.000558667176   0.000553901307 
