Byte    size              char              short             float          double           float3          float4
32K     32768         0.000012729663   0.000010184239    0.000010249187  0.000010729824   0.000010239365   0.000009756518 
64K     65536         0.000013386453   0.000010527049    0.000010181070  0.000010544476   0.000010489347   0.000009784083 
128K    131072        0.000014468117   0.000012443879    0.000011567526  0.000012025347   0.000012205622   0.000011282058 
256K    262144        0.000017069620   0.000013542656    0.000012213857  0.000012106141   0.000013995091   0.000011412278 
512K    524288        0.000023767450   0.000017976085    0.000014832474  0.000014553030   0.000017788199   0.000013556913 
1M      1048576       0.000039457263   0.000024273115    0.000016937183  0.000015875486   0.000019567207   0.000013299332 
2M      2097152       0.000076197066   0.000047725625    0.000033271452  0.000029766967   0.000035621702   0.000026169026 
4M      4194304       0.000136470480   0.000079470257    0.000051301391  0.000043703130   0.000057381701   0.000038088234 
8M      8388608       0.000267014140   0.000153079149    0.000097380747  0.000080641265   0.000104750274   0.000072818679 
16M     16777216      0.000539598288   0.000301717286    0.000189950704  0.000153675704   0.000203169926   0.000141585726 
32M     33554432      0.001078475034   0.000605201756    0.000380493613  0.000303465553   0.000402171223   0.000277603511 
64M     67108864      0.002203497104   0.001217162702    0.000751794549  0.000604915665   0.000786853197   0.000555685023
