Byte    size              char              short             float          double           float3          float4
128K    131072        0.000014521662   0.000012815843    0.000012139407  0.000012101702   0.000012558575   0.000011475016 
256K    262144        0.000017209983   0.000014405704    0.000012563961  0.000012401745   0.000014484598   0.000011618216 
512K    524288        0.000024301937   0.000018602776    0.000015411326  0.000014894887   0.000018894259   0.000014251723 
1M      1048576       0.000040979648   0.000027810855    0.000019648001  0.000016964437   0.000022069225   0.000014525784 
2M      2097152       0.000078561236   0.000050602452    0.000035415123  0.000029755563   0.000039298851   0.000026962063 
4M      4194304       0.000143603975   0.000085654181    0.000056895366  0.000044237629   0.000065720720   0.000039429706 
8M      8388608       0.000282262481   0.000168777478    0.000106826148  0.000082946855   0.000121221390   0.000074208940 
16M     16777216      0.000582248264   0.000355334079    0.000207122735  0.000159111587   0.000236035150   0.000143624929 
32M     33554432      0.001227085711   0.000715595437    0.000409839500  0.000317127910   0.000464700337   0.000282770052 
64M     67108864      0.002701858757    0.001499306643    0.000809754361  0.000631742761   0.000917705067  0.000564117974 
